ENSEMBL,SYMBOL,GENENAME
ENSMUSG00000042757,Tmem108,transmembrane protein 108
ENSMUSG00000032558,Nphp3,nephronophthisis 3 (adolescent)
ENSMUSG00000032557,Uba5,ubiquitin-like modifier activating enzyme 5
ENSMUSG00000090150,Acad11,"acyl-Coenzyme A dehydrogenase family, member 11"
ENSMUSG00000079355,Ackr4,atypical chemokine receptor 4
ENSMUSG00000032560,Dnajc13,DnaJ heat shock protein family (Hsp40) member C13
ENSMUSG00000032561,Acpp,"acid phosphatase, prostate"
ENSMUSG00000032564,Cpne4,copine IV
ENSMUSG00000032563,Mrpl3,mitochondrial ribosomal protein L3
ENSMUSG00000104344,NA,NA
ENSMUSG00000032565,Nudt16,nudix hydrolase 16
ENSMUSG00000032567,Aste1,asteroid homolog 1
ENSMUSG00000032570,Atp2c1,"ATPase, Ca++-sequestering"
ENSMUSG00000032571,Pik3r4,phosphoinositide-3-kinase regulatory subunit 4
ENSMUSG00000091345,Col6a5,"collagen, type VI, alpha 5"
ENSMUSG00000032572,Col6a4,"collagen, type VI, alpha 4"
ENSMUSG00000086296,NA,NA
ENSMUSG00000020258,Glyctk,glycerate kinase
ENSMUSG00000020257,Wdr82,WD repeat domain containing 82
ENSMUSG00000020253,Ppm1m,protein phosphatase 1M
ENSMUSG00000023277,Twf2,twinfilin actin binding protein 2
ENSMUSG00000045322,Tlr9,toll-like receptor 9
ENSMUSG00000032786,Alas1,aminolevulinic acid synthase 1
ENSMUSG00000023345,Poc1a,POC1 centriolar protein A
ENSMUSG00000053716,Dusp7,dual specificity phosphatase 7
ENSMUSG00000048758,Rpl29,ribosomal protein L29
ENSMUSG00000023262,Acy1,aminoacylase 1
ENSMUSG00000042210,Abhd14a,abhydrolase domain containing 14A
ENSMUSG00000042073,Abhd14b,abhydrolase domain containing 14b
ENSMUSG00000023495,Pcbp4,poly(rC) binding protein 4
ENSMUSG00000023249,Parp3,"poly (ADP-ribose) polymerase family, member 3"
ENSMUSG00000041506,Rrp9,"ribosomal RNA processing 9, U3 small nucleolar RNA binding protein"
ENSMUSG00000040813,Tex264,testis expressed gene 264
ENSMUSG00000040661,Rad54l2,RAD54 like 2 (S. cerevisiae)
ENSMUSG00000040325,Dcaf1,DDB1 and CUL4 associated factor 1
ENSMUSG00000032575,Manf,mesencephalic astrocyte-derived neurotrophic factor
ENSMUSG00000074102,Rbm15b,RNA binding motif protein 15B
ENSMUSG00000090207,NA,NA
ENSMUSG00000039716,Dock3,dedicator of cyto-kinesis 3
ENSMUSG00000032577,Mapkapk3,mitogen-activated protein kinase-activated protein kinase 3
ENSMUSG00000032578,Cish,cytokine inducible SH2-containing protein
ENSMUSG00000032579,Hemk1,HemK methyltransferase family member 1
ENSMUSG00000010066,Cacna2d2,"calcium channel, voltage-dependent, alpha 2/delta subunit 2"
ENSMUSG00000010045,Tmem115,transmembrane protein 115
ENSMUSG00000037190,Cyb561d2,cytochrome b-561 domain containing 2
ENSMUSG00000010057,Nprl2,"NPR2 like, GATOR1 complex subunit"
ENSMUSG00000010044,Zmynd10,"zinc finger, MYND domain containing 10"
ENSMUSG00000010067,Rassf1,Ras association (RalGDS/AF-6) domain family member 1
ENSMUSG00000097099,Gm9917,predicted gene 9917
ENSMUSG00000010054,Tusc2,"tumor suppressor 2, mitochondrial calcium regulator"
ENSMUSG00000010047,Hyal2,hyaluronoglucosaminidase 2
ENSMUSG00000010051,Hyal1,hyaluronoglucosaminidase 1
ENSMUSG00000079334,Naa80,"N(alpha)-acetyltransferase 80, NatH catalytic subunit"
ENSMUSG00000036091,Hyal3,hyaluronoglucosaminidase 3
ENSMUSG00000010048,Ifrd2,interferon-related developmental regulator 2
ENSMUSG00000103409,Lsmem2,leucine-rich single-pass membrane protein 2
ENSMUSG00000103164,NA,NA
ENSMUSG00000057969,Sema3b,"sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3B"
ENSMUSG00000032562,Gnai2,"guanine nucleotide binding protein (G protein), alpha inhibiting 2"
ENSMUSG00000102324,NA,NA
ENSMUSG00000010064,Slc38a3,"solute carrier family 38, member 3"
ENSMUSG00000034837,Gnat1,G protein subunit alpha transducin 1
ENSMUSG00000034684,Sema3f,"sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3F"
ENSMUSG00000032580,Rbm5,RNA binding motif protein 5
ENSMUSG00000102899,NA,NA
ENSMUSG00000032582,Rbm6,RNA binding motif protein 6
ENSMUSG00000032583,Mon1a,"MON1 homolog A, secretory traffciking associated"
ENSMUSG00000032584,Mst1r,macrophage stimulating 1 receptor (c-met-related tyrosine kinase)
ENSMUSG00000032586,Traip,TRAF-interacting protein
ENSMUSG00000032596,Uba7,ubiquitin-like modifier activating enzyme 7
ENSMUSG00000042106,Inka1,inka box actin regulator 1
ENSMUSG00000032594,Ip6k1,inositol hexaphosphate kinase 1
ENSMUSG00000070284,Gmppb,GDP-mannose pyrophosphorylase B
ENSMUSG00000041528,Rnf123,ring finger protein 123
ENSMUSG00000032593,Amigo3,adhesion molecule with Ig like domain 3
ENSMUSG00000032591,Mst1,macrophage stimulating 1 (hepatocyte growth factor-like)
ENSMUSG00000032590,Apeh,acylpeptide hydrolase
ENSMUSG00000032589,Bsn,bassoon
ENSMUSG00000102224,4930447F24Rik,RIKEN cDNA 4930447F24 gene
ENSMUSG00000039952,Dag1,dystroglycan 1
ENSMUSG00000032606,Nicn1,nicolin 1
ENSMUSG00000032607,Amt,aminomethyltransferase
ENSMUSG00000039461,Tcta,T cell leukemia translocation altered gene
ENSMUSG00000007815,Rhoa,ras homolog family member A
ENSMUSG00000063856,Gpx1,glutathione peroxidase 1
ENSMUSG00000032612,Usp4,ubiquitin specific peptidase 4 (proto-oncogene)
ENSMUSG00000104399,NA,NA
ENSMUSG00000032611,1700102P08Rik,RIKEN cDNA 1700102P08 gene
ENSMUSG00000032609,Klhdc8b,kelch domain containing 8B
ENSMUSG00000049305,Ccdc71,coiled-coil domain containing 71
ENSMUSG00000102152,NA,NA
ENSMUSG00000052911,Lamb2,"laminin, beta 2"
ENSMUSG00000006676,Usp19,ubiquitin specific peptidase 19
ENSMUSG00000032604,Qars,glutaminyl-tRNA synthetase
ENSMUSG00000006673,Qrich1,glutamine-rich 1
ENSMUSG00000103621,NA,NA
ENSMUSG00000062867,Impdh2,inosine monophosphate dehydrogenase 2
ENSMUSG00000070283,Ndufaf3,NADH:ubiquinone oxidoreductase complex assembly factor 3
ENSMUSG00000103103,NA,NA
ENSMUSG00000019039,Dalrd3,DALR anticodon binding domain containing 3
ENSMUSG00000066357,Wdr6,WD repeat domain 6
ENSMUSG00000006675,P4htm,"prolyl 4-hydroxylase, transmembrane (endoplasmic reticulum)"
ENSMUSG00000064145,Arih2,ariadne RBR E3 ubiquitin protein ligase 2
ENSMUSG00000032602,Slc25a20,"solute carrier family 25 (mitochondrial carnitine/acylcarnitine translocase), member 20"
ENSMUSG00000032601,Prkar2a,"protein kinase, cAMP dependent regulatory, type II alpha"
ENSMUSG00000032599,Ip6k2,inositol hexaphosphate kinase 2
ENSMUSG00000032598,Nckipsd,NCK interacting protein with SH3 domain
ENSMUSG00000023473,Celsr3,"cadherin, EGF LAG seven-pass G-type receptor 3"
ENSMUSG00000023259,Slc26a6,"solute carrier family 26, member 6"
ENSMUSG00000025652,Tmem89,transmembrane protein 89
ENSMUSG00000025651,Uqcrc1,ubiquinol-cytochrome c reductase core protein 1
ENSMUSG00000025650,Col7a1,"collagen, type VII, alpha 1"
ENSMUSG00000025648,Pfkfb4,"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 4"
ENSMUSG00000025647,Shisa5,shisa family member 5
ENSMUSG00000025646,Atrip,ATR interacting protein
ENSMUSG00000025646,Gm53191,"predicted gene, 53191"
ENSMUSG00000091537,Tma7,translational machinery associated 7
ENSMUSG00000091537,Tma7-ps,"translational machinery associated 7 homolog (S. cerevisiae), pseudogene"
ENSMUSG00000025645,Ccdc51,coiled-coil domain containing 51
ENSMUSG00000053646,Plxnb1,plexin B1
ENSMUSG00000070282,NA,NA
ENSMUSG00000032478,Nme6,NME/NM23 nucleoside diphosphate kinase 6
ENSMUSG00000032477,Cdc25a,cell division cycle 25A
ENSMUSG00000032479,Map4,microtubule-associated protein 4
ENSMUSG00000032480,Dhx30,DEAH (Asp-Glu-Ala-His) box polypeptide 30
ENSMUSG00000032481,Smarcc1,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily c, member 1"
ENSMUSG00000032482,Cspg5,chondroitin sulfate proteoglycan 5
ENSMUSG00000054836,Elp6,elongator acetyltransferase complex subunit 6
ENSMUSG00000032485,Scap,SREBF chaperone
ENSMUSG00000036057,Ptpn23,"protein tyrosine phosphatase, non-receptor type 23"
ENSMUSG00000054792,Klhl18,kelch-like 18
ENSMUSG00000032489,Kif9,kinesin family member 9
ENSMUSG00000044791,Setd2,SET domain containing 2
ENSMUSG00000032491,Nradd,neurotrophin receptor associated death domain
ENSMUSG00000056724,Nbeal2,neurobeachin-like 2
ENSMUSG00000019659,Ccdc12,coiled-coil domain containing 12
ENSMUSG00000032492,Pth1r,parathyroid hormone 1 receptor
ENSMUSG00000049555,Tmie,transmembrane inner ear
ENSMUSG00000044037,Als2cl,ALS2 C-terminal like
ENSMUSG00000105140,NA,NA
ENSMUSG00000066319,Rtp3,receptor transporter protein 3
ENSMUSG00000032496,Ltf,lactotransferrin
ENSMUSG00000043953,Ccrl2,chemokine (C-C motif) receptor-like 2
ENSMUSG00000032497,Lrrfip2,leucine rich repeat (in FLII) interacting protein 2
ENSMUSG00000032498,Mlh1,mutL homolog 1
ENSMUSG00000046785,Epm2aip1,EPM2A (laforin) interacting protein 1
ENSMUSG00000032500,Dclk3,doublecortin-like kinase 3
ENSMUSG00000032503,Arpp21,"cyclic AMP-regulated phosphoprotein, 21"
ENSMUSG00000032504,Pdcd6ip,programmed cell death 6 interacting protein
ENSMUSG00000033392,Clasp2,CLIP associating protein 2
ENSMUSG00000009741,Ubp1,upstream binding protein 1
ENSMUSG00000032507,Fbxl2,F-box and leucine-rich repeat protein 2
ENSMUSG00000111793,NA,NA
ENSMUSG00000086596,Susd5,sushi domain containing 5
ENSMUSG00000074039,4930520O04Rik,RIKEN cDNA 4930520O04 gene
ENSMUSG00000032431,Crtap,cartilage associated protein
ENSMUSG00000045594,Glb1,"galactosidase, beta 1"
ENSMUSG00000079260,Tmppe,transmembrane protein with metallophosphoesterase domain
ENSMUSG00000047898,Ccr4,chemokine (C-C motif) receptor 4
ENSMUSG00000056167,Cnot10,"CCR4-NOT transcription complex, subunit 10"
ENSMUSG00000032435,Dync1li1,dynein cytoplasmic 1 light intermediate chain 1
ENSMUSG00000032434,Cmtm6,CKLF-like MARVEL transmembrane domain containing 6
ENSMUSG00000032436,Cmtm7,CKLF-like MARVEL transmembrane domain containing 7
ENSMUSG00000052724,NA,NA
ENSMUSG00000041012,Cmtm8,CKLF-like MARVEL transmembrane domain containing 8
ENSMUSG00000050627,Gpd1l,glycerol-3-phosphate dehydrogenase 1-like
ENSMUSG00000040875,Osbpl10,oxysterol binding protein-like 10
ENSMUSG00000050621,Rps27rt,"ribosomal protein S27, retrogene"
ENSMUSG00000097967,NA,NA
ENSMUSG00000032437,Stt3b,"STT3, subunit of the oligosaccharyltransferase complex, homolog B (S. cerevisiae)"
ENSMUSG00000074034,Gm5921,ribosomal protein S2 pseudogene
ENSMUSG00000080848,NA,NA
ENSMUSG00000032440,Tgfbr2,"transforming growth factor, beta receptor II"
ENSMUSG00000039607,Rbms3,"RNA binding motif, single stranded interacting protein"
ENSMUSG00000079669,Gm17396,"predicted gene, 17396"
ENSMUSG00000039285,Azi2,5-azacytidine induced gene 2
ENSMUSG00000039163,Cmc1,COX assembly mitochondrial protein 1
ENSMUSG00000038708,Golga4,"golgi autoantigen, golgin subfamily a, 4"
ENSMUSG00000110627,Gm18935,"family with sequence similarity 64, member A pseudogene"
ENSMUSG00000039115,Itga9,integrin alpha 9
ENSMUSG00000066270,NA,NA
ENSMUSG00000086119,NA,NA
ENSMUSG00000047409,Ctdspl,"CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase-like"
ENSMUSG00000038775,Vill,villin-like
ENSMUSG00000010660,Plcd1,"phospholipase C, delta 1"
ENSMUSG00000038060,Dlec1,deleted in lung and esophageal cancer 1
ENSMUSG00000010651,Acaa1b,acetyl-Coenzyme A acyltransferase 1B
ENSMUSG00000092212,Slc22a13b,"solute carrier family 22 (organic cation transporter), member 13b"
ENSMUSG00000036737,Oxsr1,oxidative-stress responsive 1
ENSMUSG00000032508,Myd88,myeloid differentiation primary response gene 88
ENSMUSG00000036138,Acaa1a,acetyl-Coenzyme A acyltransferase 1A
ENSMUSG00000035769,Xylb,xylulokinase homolog (H. influenzae)
ENSMUSG00000061393,Acvr2b,activin receptor IIB
ENSMUSG00000097504,NA,NA
ENSMUSG00000042787,Exog,"endo/exonuclease (5'-3'), endonuclease G-like"
ENSMUSG00000032511,Scn5a,"sodium channel, voltage-gated, type V, alpha"
ENSMUSG00000034115,Scn11a,"sodium channel, voltage-gated, type XI, alpha"
ENSMUSG00000032512,Wdr48,WD repeat domain 48
ENSMUSG00000052336,Cx3cr1,chemokine (C-X3-C motif) receptor 1
ENSMUSG00000032513,Gorasp1,golgi reassembly stacking protein 1
ENSMUSG00000032515,Csrnp1,cysteine-serine-rich nuclear protein 1
ENSMUSG00000111792,NA,NA
ENSMUSG00000032519,Slc25a38,"solute carrier family 25, member 38"
ENSMUSG00000032518,Rpsa,ribosomal protein SA
ENSMUSG00000064380,Gm26448,"predicted gene, 26448"
ENSMUSG00000041794,Myrip,myosin VIIA and Rab interacting protein
ENSMUSG00000111828,D830035M03Rik,RIKEN cDNA D830035M03 gene
ENSMUSG00000006941,Eif1b,eukaryotic translation initiation factor 1B
ENSMUSG00000041608,Entpd3,ectonucleoside triphosphate diphosphohydrolase 3
ENSMUSG00000025794,Rpl14,ribosomal protein L14
ENSMUSG00000052658,5830454E08Rik,RIKEN cDNA 5830454E08 gene
ENSMUSG00000110726,Gm18101,ring finger protein 5 pseudogene
ENSMUSG00000006932,Ctnnb1,"catenin (cadherin associated protein), beta 1"
ENSMUSG00000040936,Ulk4,unc-51-like kinase 4
ENSMUSG00000110863,Gm34655,"predicted gene, 34655"
ENSMUSG00000032536,Trak1,"trafficking protein, kinesin binding 1"
ENSMUSG00000032532,Cck,cholecystokinin
ENSMUSG00000032530,Lyzl4,lysozyme-like 4
ENSMUSG00000111844,NA,NA
ENSMUSG00000032528,Vipr1,vasoactive intestinal peptide receptor 1
ENSMUSG00000061536,Sec22c,"SEC22 homolog C, vesicle trafficking protein"
ENSMUSG00000032526,Ss18l2,"SS18, nBAF chromatin remodeling complex subunit like 2"
ENSMUSG00000032525,Nktr,natural killer tumor recognition sequence
ENSMUSG00000097820,NA,NA
ENSMUSG00000013419,Zfp651,zinc finger protein 651
ENSMUSG00000032523,Hhatl,hedgehog acyltransferase-like
ENSMUSG00000038412,Higd1a,"HIG1 domain family, member 1A"
ENSMUSG00000111079,Gm47112,"predicted gene, 47112"
ENSMUSG00000044534,Ackr2,atypical chemokine receptor 2
ENSMUSG00000043773,1700048O20Rik,RIKEN cDNA 1700048O20 gene
ENSMUSG00000038233,Gask1a,golgi associated kinase 1A
ENSMUSG00000066235,Pomgnt2,"protein O-linked mannose beta 1,4-N-acetylglucosaminyltransferase 2"
ENSMUSG00000038145,Snrk,SNF related kinase
ENSMUSG00000037949,Ano10,anoctamin 10
ENSMUSG00000097572,Gm26797,"predicted gene, 26797"
ENSMUSG00000032540,Abhd5,abhydrolase domain containing 5
ENSMUSG00000111837,NA,NA
ENSMUSG00000094985,Topaz1,testis and ovary specific PAZ domain containing 1
ENSMUSG00000046603,Tcaim,"T cell activation inhibitor, mitochondrial"
ENSMUSG00000107504,Gm35549,"predicted gene, 35549"
ENSMUSG00000047036,Zfp445,zinc finger protein 445
ENSMUSG00000111325,NA,NA
ENSMUSG00000063488,Zkscan7,zinc finger with KRAB and SCAN domains 7
ENSMUSG00000111063,Zfp660,zinc finger protein 660
ENSMUSG00000057895,Zfp105,zinc finger protein 105
ENSMUSG00000032551,1110059G10Rik,RIKEN cDNA 1110059G10 gene
ENSMUSG00000036768,Kif15,kinesin family member 15
ENSMUSG00000111617,NA,NA
ENSMUSG00000110945,NA,NA
ENSMUSG00000066233,Tmem42,transmembrane protein 42
ENSMUSG00000025787,Tgm4,transglutaminase 4 (prostate)
ENSMUSG00000025786,Zdhhc3,"zinc finger, DHHC domain containing 3"
ENSMUSG00000025785,Exosc7,exosome component 7
ENSMUSG00000025784,Clec3b,"C-type lectin domain family 3, member b"
ENSMUSG00000035498,Cdcp1,CUB domain containing protein 1
ENSMUSG00000054871,Tmem158,transmembrane protein 158
ENSMUSG00000058492,Scp2-ps2,"sterol carrier protein 2, pseudogene 2"
ENSMUSG00000035202,Lars2,"leucyl-tRNA synthetase, mitochondrial"
ENSMUSG00000025239,Limd1,LIM domains containing 1
ENSMUSG00000025240,Sacm1l,SAC1 suppressor of actin mutations 1-like (yeast)
ENSMUSG00000025243,Slc6a20b,"solute carrier family 6 (neurotransmitter transporter), member 20B"
ENSMUSG00000036814,Slc6a20a,"solute carrier family 6 (neurotransmitter transporter), member 20A"
ENSMUSG00000091172,NA,NA
ENSMUSG00000110735,NA,NA
ENSMUSG00000111340,NA,NA
ENSMUSG00000090608,NA,NA
ENSMUSG00000029530,Ccr9,chemokine (C-C motif) receptor 9
ENSMUSG00000058922,NA,NA
ENSMUSG00000025245,Lztfl1,leucine zipper transcription factor-like 1
ENSMUSG00000025241,Fyco1,FYVE and coiled-coil domain containing 1
ENSMUSG00000048521,Cxcr6,chemokine (C-X-C motif) receptor 6
ENSMUSG00000060509,Xcr1,chemokine (C motif) receptor 1
ENSMUSG00000025804,Ccr1,chemokine (C-C motif) receptor 1
ENSMUSG00000035448,Ccr3,chemokine (C-C motif) receptor 3
ENSMUSG00000049103,Ccr2,chemokine (C-C motif) receptor 2
ENSMUSG00000079227,Ccr5,chemokine (C-C motif) receptor 5
ENSMUSG00000110834,NA,NA
ENSMUSG00000074829,2010315B03Rik,RIKEN cDNA 2010315B03 gene
ENSMUSG00000093803,Ppp2r3d,"protein phosphatase 2 (formerly 2A), regulatory subunit B'', delta"
ENSMUSG00000040653,Ppp1r14c,"protein phosphatase 1, regulatory inhibitor subunit 14C"
ENSMUSG00000019762,Iyd,iodotyrosine deiodinase
ENSMUSG00000040624,Plekhg1,"pleckstrin homology domain containing, family G (with RhoGef domain) member 1"
ENSMUSG00000040675,Mthfd1l,methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1-like
ENSMUSG00000038587,Akap12,A kinase (PRKA) anchor protein (gravin) 12
ENSMUSG00000075327,Zbtb2,zinc finger and BTB domain containing 2
ENSMUSG00000095123,NA,NA
ENSMUSG00000019763,Rmnd1,required for meiotic nuclear division 1 homolog
ENSMUSG00000085687,NA,NA
ENSMUSG00000061759,Armt1,acidic residue methyltransferase 1
ENSMUSG00000019768,Esr1,estrogen receptor 1 (alpha)
ENSMUSG00000096054,Syne1,"spectrin repeat containing, nuclear envelope 1"
ENSMUSG00000046916,Myct1,myc target 1
ENSMUSG00000019772,Vip,vasoactive intestinal polypeptide
ENSMUSG00000019773,Fbxo5,F-box protein 5
ENSMUSG00000019774,Mtrf1l,mitochondrial translational release factor 1-like
ENSMUSG00000019775,Rgs17,regulator of G-protein signaling 17
ENSMUSG00000064065,Ipcef1,interaction protein for cytohesin exchange factors 1
ENSMUSG00000081926,NA,NA
ENSMUSG00000015202,Cnksr3,Cnksr family member 3
ENSMUSG00000079685,Ulbp1,UL16 binding protein 1
ENSMUSG00000112474,Gm46209,"predicted gene, 46209"
ENSMUSG00000019796,Lrp11,low density lipoprotein receptor-related protein 11
ENSMUSG00000019795,Pcmt1,protein-L-isoaspartate (D-aspartate) O-methyltransferase 1
ENSMUSG00000040034,Nup43,nucleoporin 43
ENSMUSG00000040021,Lats1,large tumor suppressor
ENSMUSG00000019794,Katna1,katanin p60 (ATPase-containing) subunit A1
ENSMUSG00000092190,NA,NA
ENSMUSG00000040006,Ginm1,glycoprotein integral membrane 1
ENSMUSG00000085211,NA,NA
ENSMUSG00000015757,Ppil4,peptidylprolyl isomerase (cyclophilin)-like 4
ENSMUSG00000039981,Zc3h12d,zinc finger CCCH type containing 12D
ENSMUSG00000015755,Tab2,TGF-beta activated kinase 1/MAP3K7 binding protein 2
ENSMUSG00000047712,Ust,uronyl-2-sulfotransferase
ENSMUSG00000015305,Sash1,SAM and SH3 domain containing 1
ENSMUSG00000060487,Samd5,sterile alpha motif domain containing 5
ENSMUSG00000019790,Stxbp5,syntaxin binding protein 5 (tomosyn)
ENSMUSG00000112146,NA,NA
ENSMUSG00000050994,Adgb,androglobin
ENSMUSG00000019832,Rab32,"RAB32, member RAS oncogene family"
ENSMUSG00000090112,Shprh,SNF2 histone linker PHD RING helicase
ENSMUSG00000047648,Fbxo30,F-box protein 30
ENSMUSG00000055493,Epm2a,"epilepsy, progressive myoclonic epilepsy, type 2 gene alpha"
ENSMUSG00000045455,Gm9797,translocase of inner mitochondrial membrane 8 homolog a1 pseudogene
ENSMUSG00000019820,Utrn,utrophin
ENSMUSG00000097378,B230208H11Rik,RIKEN cDNA B230208H11 gene
ENSMUSG00000039232,Stx11,syntaxin 11
ENSMUSG00000078348,Sf3b5,"splicing factor 3b, subunit 5"
ENSMUSG00000019817,Plagl1,pleiomorphic adenoma gene-like 1
ENSMUSG00000019814,Ltv1,LTV1 ribosome biogenesis factor
ENSMUSG00000062866,Phactr2,phosphatase and actin regulator 2
ENSMUSG00000019810,Fuca2,"fucosidase, alpha-L- 2, plasma"
ENSMUSG00000019809,Pex3,peroxisomal biogenesis factor 3
ENSMUSG00000019808,Adat2,"adenosine deaminase, tRNA-specific 2"
ENSMUSG00000019806,Aig1,androgen-induced 1
ENSMUSG00000112102,NA,NA
ENSMUSG00000015501,Hivep2,human immunodeficiency virus type I enhancer binding protein 2
ENSMUSG00000039116,Adgrg6,adhesion G protein-coupled receptor G6
ENSMUSG00000071532,Gm10335,ribosomal protein L23A pseudogene
ENSMUSG00000019868,Vta1,vesicle (multivesicular body) trafficking 1
ENSMUSG00000019868,Gje1-vta1,"gap junction protein, epsilon 1-vesicle (multivesicular body) trafficking 1 readthrough"
ENSMUSG00000093798,Gm8355,heat shock protein 8 pseudogene
ENSMUSG00000039910,Cited2,"Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 2"
ENSMUSG00000039891,Txlnb,taxilin beta
ENSMUSG00000039879,Heca,"hdc homolog, cell cycle regulator"
ENSMUSG00000078453,Abracl,ABRA C-terminal like
ENSMUSG00000019854,Reps1,RalBP1 associated Eps domain containing protein
ENSMUSG00000059554,Ccdc28a,coiled-coil domain containing 28A
ENSMUSG00000039835,Nhsl1,NHS-like 1
ENSMUSG00000019853,Hebp2,heme binding protein 2
ENSMUSG00000019852,Arfgef3,ARFGEF family member 3
ENSMUSG00000019851,Perp,"PERP, TP53 apoptosis effector"
ENSMUSG00000019850,Tnfaip3,"tumor necrosis factor, alpha-induced protein 3"
ENSMUSG00000110902,Gm33104,"predicted gene, 33104"
ENSMUSG00000020009,Ifngr1,interferon gamma receptor 1
ENSMUSG00000039760,Il22ra2,"interleukin 22 receptor, alpha 2"
ENSMUSG00000050473,Slc35d3,"solute carrier family 35, member D3"
ENSMUSG00000020003,Pex7,peroxisomal biogenesis factor 7
ENSMUSG00000111067,NA,NA
ENSMUSG00000071369,Map3k5,mitogen-activated protein kinase kinase kinase 5
ENSMUSG00000019996,Map7,microtubule-associated protein 7
ENSMUSG00000111356,Rpl32l,ribosomal protein L32-like
ENSMUSG00000111447,NA,NA
ENSMUSG00000069713,NA,NA
ENSMUSG00000037608,Bclaf1,BCL2-associated transcription factor 1
ENSMUSG00000019992,Mtfr2,mitochondrial fission regulator 2
ENSMUSG00000019990,Pde7b,phosphodiesterase 7B
ENSMUSG00000092051,NA,NA
ENSMUSG00000019986,Ahi1,Abelson helper integration site 1
ENSMUSG00000019982,Myb,myeloblastosis oncogene
ENSMUSG00000019977,Hbs1l,Hbs1-like (S. cerevisiae)
ENSMUSG00000112654,4930455C13Rik,RIKEN cDNA 4930455C13 gene
ENSMUSG00000050844,1700020N01Rik,RIKEN cDNA 1700020N01 gene
ENSMUSG00000019970,Sgk1,serum/glucocorticoid regulated kinase 1
ENSMUSG00000097327,E030030I06Rik,RIKEN cDNA E030030I06 gene
ENSMUSG00000053219,Raet1e,retinoic acid early transcript 1E
ENSMUSG00000097705,NA,NA
ENSMUSG00000097295,NA,NA
ENSMUSG00000097352,NA,NA
ENSMUSG00000097245,Gm5421,"aconitase 2, mitochondrial pseudogene"
ENSMUSG00000037490,Slc2a12,"solute carrier family 2 (facilitated glucose transporter), member 12"
ENSMUSG00000071359,Tbpl1,TATA box binding protein-like 1
ENSMUSG00000112397,NA,NA
ENSMUSG00000045680,Tcf21,transcription factor 21
ENSMUSG00000061983,Rps12,ribosomal protein S12
ENSMUSG00000037455,Slc18b1,"solute carrier family 18, subfamily B, member 1"
ENSMUSG00000020010,Vnn3,vanin 3
ENSMUSG00000037440,Vnn1,vanin 1
ENSMUSG00000085451,Gm40614,"predicted gene, 40614"
ENSMUSG00000019998,Stx7,syntaxin 7
ENSMUSG00000020000,Moxd1,"monooxygenase, DBH-like 1"
ENSMUSG00000019997,Ccn2,cellular communication network factor 2
ENSMUSG00000037370,Enpp1,ectonucleotide pyrophosphatase/phosphodiesterase 1
ENSMUSG00000019989,Enpp3,ectonucleotide pyrophosphatase/phosphodiesterase 3
ENSMUSG00000019984,Med23,mediator complex subunit 23
ENSMUSG00000019987,Arg1,"arginase, liver"
ENSMUSG00000039166,Akap7,A kinase (PRKA) anchor protein 7
ENSMUSG00000019978,Epb41l2,erythrocyte membrane protein band 4.1 like 2
ENSMUSG00000096546,Smlr1,small leucine-rich protein 1
ENSMUSG00000101537,Gm29571,predicted gene 29571
ENSMUSG00000049420,Tmem200a,transmembrane protein 200A
ENSMUSG00000112808,NA,NA
ENSMUSG00000039089,L3mbtl3,L3MBTL3 histone methyl-lysine binding protein
ENSMUSG00000039031,Arhgap18,Rho GTPase activating protein 18
ENSMUSG00000019899,Lama2,"laminin, alpha 2"
ENSMUSG00000064208,NA,NA
ENSMUSG00000019889,Ptprk,"protein tyrosine phosphatase, receptor type, K"
ENSMUSG00000049109,Themis,thymocyte selection associated
ENSMUSG00000095478,NA,NA
ENSMUSG00000038916,Soga3,SOGA family member 3
ENSMUSG00000004360,9330159F19Rik,RIKEN cDNA 9330159F19 gene
ENSMUSG00000019883,Echdc1,enoyl Coenzyme A hydratase domain containing 1
ENSMUSG00000038876,Rnf146,ring finger protein 146
ENSMUSG00000096841,NA,NA
ENSMUSG00000111496,NA,NA
ENSMUSG00000019880,Rspo3,R-spondin 3
ENSMUSG00000069682,Gm10275,Rpl12 pseudogene
ENSMUSG00000075266,Cenpw,centromere protein W
ENSMUSG00000019792,Trmt11,tRNA methyltransferase 11
ENSMUSG00000111080,Gm20300,"predicted gene, 20300"
ENSMUSG00000019791,Hint3,histidine triad nucleotide binding protein 3
ENSMUSG00000039697,Ncoa7,nuclear receptor coactivator 7
ENSMUSG00000019789,Hey2,hairy/enhancer-of-split related with YRPW motif 2
ENSMUSG00000039684,Gm5422,"proteasome (prosome, macropain) 26S subunit, non-ATPase, 2 pseudogene"
ENSMUSG00000000295,Hddc2,HD domain containing 2
ENSMUSG00000111664,NA,NA
ENSMUSG00000000296,Tpd52l1,tumor protein D52-like 1
ENSMUSG00000063760,Rnf217,ring finger protein 217
